date,xpub_address,balance_btc,num_transactions,networth_usd,first_seen,persona_name
11/20/2015 23:58:00,66170,3.058103975535168,0,1000.0,2015-01-01,The Hodler
11/27/2015 23:58:00,66170,3.058103975535168,0,1092.4770642201836,2015-01-01,The Hodler
12/4/2015 23:58:00,66170,3.058103975535168,0,1186.51376146789,2015-01-01,The Hodler
12/11/2015 23:58:00,66170,3.058103975535168,0,1335.993883792049,2015-01-01,The Hodler
12/18/2015 23:58:00,66170,3.058103975535168,0,1410.6727828746177,2015-01-01,The Hodler
12/25/2015 23:58:00,66170,3.058103975535168,0,1282.599388379205,2015-01-01,The Hodler
1/1/2016 23:58:00,66170,3.058103975535168,0,1331.4984709480123,2015-01-01,The Hodler
1/8/2016 23:58:00,66170,3.058103975535168,0,1377.308868501529,2015-01-01,The Hodler
1/15/2016 23:58:00,66170,3.058103975535168,0,1188.68501529052,2015-01-01,The Hodler
1/22/2016 23:58:00,66170,3.058103975535168,0,1185.0152905198777,2015-01-01,The Hodler
1/29/2016 23:58:00,66170,3.058103975535168,0,1157.3700305810396,2015-01-01,The Hodler
2/5/2016 23:58:00,66170,3.058103975535168,0,1148.1345565749236,2015-01-01,The Hodler
2/12/2016 23:58:00,66170,3.058103975535168,0,1195.7186544342508,2015-01-01,The Hodler
2/19/2016 23:58:00,66170,3.058103975535168,0,1337.7981651376147,2015-01-01,The Hodler
2/26/2016 23:58:00,66170,3.058103975535168,0,1324.5259938837921,2015-01-01,The Hodler
3/4/2016 23:58:00,66170,3.058103975535168,0,1211.2538226299694,2015-01-01,The Hodler
3/11/2016 23:58:00,66170,3.058103975535168,0,1255.5963302752293,2015-01-01,The Hodler
3/18/2016 23:58:00,66170,3.058103975535168,0,1254.434250764526,2015-01-01,The Hodler
3/25/2016 23:58:00,66170,3.058103975535168,0,1275.1376146788991,2015-01-01,The Hodler
4/1/2016 23:58:00,66170,3.058103975535168,0,1284.2507645259939,2015-01-01,The Hodler
4/8/2016 23:58:00,66170,3.058103975535168,0,1282.7522935779816,2015-01-01,The Hodler
4/15/2016 23:58:00,66170,3.058103975535168,0,1325.3516819571864,2015-01-01,The Hodler
4/22/2016 23:58:00,66170,3.058103975535168,0,1393.5474006116208,2015-01-01,The Hodler
4/29/2016 23:58:00,66170,3.058103975535168,0,1388.440366972477,2015-01-01,The Hodler
5/6/2016 23:58:00,66170,3.058103975535168,0,1412.5688073394497,2015-01-01,The Hodler
5/13/2016 23:58:00,66170,3.058103975535168,0,1403.3639143730886,2015-01-01,The Hodler
5/20/2016 23:58:00,66170,3.058103975535168,0,1364.7706422018348,2015-01-01,The Hodler
5/27/2016 23:58:00,66170,3.058103975535168,0,1600.1529051987768,2015-01-01,The Hodler
6/3/2016 23:58:00,66170,3.058103975535168,0,1762.4159021406726,2015-01-01,The Hodler
6/10/2016 23:58:00,66170,3.058103975535168,0,1863.9143730886851,2015-01-01,The Hodler
6/17/2016 23:58:00,66170,3.058103975535168,0,2321.070336391437,2015-01-01,The Hodler
6/24/2016 23:58:00,66170,3.058103975535168,0,2060.2752293577983,2015-01-01,The Hodler
7/1/2016 23:58:00,66170,3.058103975535168,0,2155.810397553517,2015-01-01,The Hodler
